"","Feature.status","Comparison","A"
"1","Identified","AZvsBY",2
"2","Identified","BYvsCX",4
"3","Identified","BYvsDW",2
"4","Identified","BYvsEV",6
"5","Identified","BYvsFU",14
"6","Identified","BYvsJQ",10
"7","Identified","EVvsFU",6
"8","Identified","EVvsIR",2
"9","Identified","EVvsJQ",3
"10","Identified","FUvsIR",9
"11","Unknown","BYvsFU",1
"12","Unknown","BYvsJQ",1
"13","Unknown","EVvsFU",1
"14","Unknown","FUvsIR",1
